sig50Rvs50OM,sigExp,sig50OM,sig90Reward,RPEsign,EXPsign,sig50R,OM50sign,Rewardsign,pureReward,pureExp,RPE,pureRewardWithCue,pureExpDir,pureRPEDir,brainArea,mixed,other
0,0,1,1,0,1,1,-1,1,0,1,0,0,1,0,VP,0,0
1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,VP,0,0
0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,VP,0,0
1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,VP,0,0
1,1,1,0,1,0,1,1,1,0,0,1,0,0,0,LH_an,0,0
1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,LH_po,0,0
1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,LH_po,0,0
1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,LH_po,0,0
1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,LH_po,0,0
0,0,1,1,0,2,1,1,0,0,1,0,0,2,0,VS,0,0
1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,PPTg,1,0
0,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,LH_an,0,1
1,1,1,1,2,0,1,1,0,0,0,1,0,0,0,PPTg,0,0
1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,PPTg,0,0
1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,PPTg,0,0
0,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,PPTg,0,1
1,0,0,1,0,2,1,0,0,1,0,0,0,0,0,PPTg,0,0
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,RMTg,1,0
1,0,1,1,0,2,1,1,0,0,0,0,0,0,0,RMTg,1,0
1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,RMTg,1,0
1,1,1,1,1,0,1,-1,1,0,0,1,0,0,0,RMTg,0,0
1,1,1,1,1,0,1,-1,1,0,0,1,0,0,0,RMTg,0,0
