sig50Rvs50OM,sigExp,sig50OM,sig90Reward,RPEsign,EXPsign,sig50R,OM50sign,Rewardsign,pureReward,pureExp,RPE,pureRewardWithCue,pureExpDir,pureRPEDir,brainArea,mixed,other
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Ventral striatum,0,1
0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,Ventral striatum,0,0
1,1,0,1,1,0,1,0,1,0,0,1,0,0,0,Ventral striatum,0,0
1,1,1,1,2,0,1,1,0,0,0,1,0,0,0,Ventral striatum,0,0
0,0,1,0,2,0,1,1,0,0,0,0,0,0,2,Ventral striatum,0,1
0,1,1,0,1,0,1,-1,1,0,0,1,0,0,0,Ventral striatum,0,1
0,0,1,1,0,2,1,1,0,0,1,0,0,2,0,Ventral striatum,0,0
0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,Ventral striatum,0,1
0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,Ventral striatum,0,1
0,1,0,1,0,2,1,0,0,0,1,0,0,2,0,Ventral striatum,0,0
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Ventral striatum,0,1
0,0,0,1,0,2,1,0,0,0,1,0,0,2,0,Ventral striatum,0,0
1,0,1,1,0,1,1,-1,1,0,0,0,0,0,0,Ventral striatum,1,0
1,1,1,1,1,0,1,-1,1,0,0,1,0,0,0,Ventral striatum,0,0
1,0,1,1,1,0,1,-1,1,0,0,0,0,0,1,Ventral striatum,1,0
1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,Ventral striatum,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Ventral striatum,0,1
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Ventral striatum,0,1
0,0,1,1,2,0,1,1,0,0,0,0,0,0,2,Ventral striatum,0,1
0,0,0,1,0,2,0,0,0,0,1,0,0,2,0,Ventral striatum,0,0
0,0,1,1,2,0,1,1,0,0,0,0,0,0,2,Ventral striatum,0,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Ventral striatum,0,1
1,1,1,1,2,0,1,1,0,0,0,1,0,0,0,Ventral striatum,0,0
1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,Ventral striatum,0,0
1,0,0,1,1,0,1,0,1,1,0,0,0,0,1,Ventral striatum,0,0
0,1,1,1,2,0,1,1,0,0,0,1,0,0,0,Ventral striatum,0,1
1,1,1,1,2,0,1,1,0,0,0,1,0,0,0,Ventral striatum,0,0
0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,Ventral striatum,0,1
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,Ventral striatum,0,1
1,0,1,1,0,1,0,-1,1,0,0,0,0,0,0,Ventral striatum,1,0
1,1,0,1,2,0,1,0,0,0,0,1,0,0,0,Ventral striatum,0,0
